EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,89.68
23568,DegreeBranch,89.84
21490,LatestDegreeCGPA,81.28
8363,,54.98
6165,Gender,80.21
17679,,56.92
9715,DegreeBranch,81.28
12591,,55.3
6140,,54.99
21018,,56.96
13221,DegreeBranch,81.28
23585,YearsOfExperince,80.31
22575,,81.46
6078,HighestDegree,89.1
24125,Gender,80.36
18073,,55.13
21420,,81.29
13218,YearsOfExperince,79.99
8728,DegreeBranch,56.94
21541,,54.13
12905,YearsOfExperince,88.04
19873,Gender,80.03
6947,YearsOfExperince,89.04
19019,DegreeBranch,81.28
24372,,55.3
5298,Gender,80.01
18306,,56.88
22877,,58.76
15511,,79.9
11889,,79.58
9848,Gender,78.85
4944,Gender,80.16
4689,,57.2
24333,HighestDegree,89.07
12186,EmpScore,81.14
2936,DegreeBranch,80.92
5082,,53.39
22236,EmpScore,88.06
19221,HighestDegree,88.49
20858,,57.64
16461,,56.31
22064,,54.33
3175,DegreeBranch,81.22
18407,DegreeBranch,81.28
3684,Gender,79.4
2198,,56.79
7540,Gender,79.93
12700,DegreeBranch,88.76
17503,DegreeBranch,81.3
9153,,53.08
12564,,54.94
16511,Gender,79.04
16396,,55.33
6871,HighestDegree,81.25
9376,YearsOfExperince,81.13
7865,EmpScore,81.24
20616,,52.83
8839,DegreeBranch,89.88
15788,DegreeBranch,88.62
10040,,81.28
6147,CurrentCompanyType,55.23
24148,YearsOfExperince,81.51
4187,,55.53
18097,,56.41
11617,DegreeBranch,81.28
3642,Gender,79.47
17990,,81.0
10677,DegreeBranch,81.32
2215,DegreeBranch,89.9
9784,YearsOfExperince,81.26
13451,YearsOfExperince,79.94
16266,MartialStatus,81.22
19313,Gender,79.05
16790,Gender,79.14
21204,,53.16
24019,LatestDegreeCGPA,57.03
14539,Gender,79.72
3123,HighestDegree,80.31
9647,HighestDegree,80.96
18930,YearsOfExperince,79.35
23676,,81.0
16808,,55.6
23101,Gender,79.96
3010,,53.71
4544,DegreeBranch,81.22
22861,,54.91
10897,YearsOfExperince,89.68
13475,,56.34
23461,EmpScore,89.04
19877,Gender,79.75
10949,,52.75
13759,Gender,80.65
9443,YearsOfExperince,80.06
5606,EmpScore,89.05
21658,Gender,80.34
9731,,53.83
16330,YearsOfExperince,80.99
18456,,79.95
22486,Gender,79.25
4900,Gender,78.97
12433,Gender,79.33
10757,DegreeBranch,81.28
20969,CurrentCompanyType,89.67
4565,,54.55
16117,EmpScore,81.18
22266,Gender,80.03
23691,DegreeBranch,81.28
14468,Gender,79.93
9433,DegreeBranch,87.85
2730,EmpScore,88.43
